Name,Fold,Family,Err
GT69-u|AAY89392|C.gattiiVGIR265_Fungi,u,GT69-u,0.8811233639717102
GT69-u|AAC13946|C.neoformans_Fungi,u,GT69-u,0.35502567887306213
GT73-u|AIE00872|K.pneumoniaesubsppneumoniaeKP5-1_Bacteria,u,GT73-u,0.5770478844642639
GT48-u|ABX80511|C.parapsilosis_Fungi,u,GT48-u,0.3085208237171173
GT48-u|AAF34719|C.glabrataATCC90876_Fungi,u,GT48-u,0.3227957487106323
GT73-u|AFN85587|E.coli81009_Bacteria,u,GT73-u,0.47867676615715027
GT42-u|AAG43979|C.jejuniATCC43432_Bacteria,u,GT42-u,0.48276934027671814
GT89-u|ADL11403|C.pseudotuberculosisC231_Bacteria,u,GT89-u,0.362899512052536
GT48-u|ADO14232|C.glabrataCBS138_Fungi,u,GT48-u,0.34258440136909485
GT89-u|AET21135|M.tuberculosisvariantbovisBCGstrMexico_Bacteria,u,GT89-u,0.3522551655769348
GT53-u|AKP07770|C.pseudotuberculosis262_Bacteria,u,GT53-u,0.5647366642951965
GT44-u|QCV10367|E.coliO157H7ECP17-1298_Bacteria,u,GT44-u,0.8309291005134583
GT53-u|AGL33304|M.tuberculosisEAI5NITR206_Bacteria,u,GT53-u,0.4986564517021179
GT26-u|AAU20247|B.cereusE33L_Bacteria,u,GT26-u,0.7658857703208923
GT97-u|ABW93688|N.meningitidisWNTP118-13ST-22_Bacteria,u,GT97-u,0.6211928129196167
GT71-u|AJR81324|S.cerevisiaeYJM451_Fungi,u,GT71-u,0.3355270326137543
GT71-u|AJP83164|S.cerevisiaeYJM1418_Fungi,u,GT71-u,0.23489569127559662
GT76-u|AHY74490|S.cerevisiaeYJM993_Fungi,u,GT76-u,0.6686256527900696
GT71-u|AJT08527|S.cerevisiaeYJM627_Fungi,u,GT71-u,0.2923973798751831
GT71-u|AJR54125|S.cerevisiaeYJM682_Fungi,u,GT71-u,0.2279217541217804
GT44-u|ADH94633|C.difficile55767_Bacteria,u,GT44-u,0.5718063116073608
GT71-u|AJR37278|S.cerevisiaeYJM244_Fungi,u,GT71-u,0.26126325130462646
GT11-u|ACD47556|H.pyloriShi470_Bacteria,u,GT11-u,0.6850829720497131
GT53-u|AIQ10449|M.tuberculosis96121_Bacteria,u,GT53-u,0.6677787899971008
GT71-u|AJU50132|S.cerevisiaeYJM1388_Fungi,u,GT71-u,0.26292750239372253
