Name,Fold,Family,Err
GT69-u|AAY89392|C.gattiiVGIR265_Fungi,u,GT69-u,1.3144872188568115
GT69-u|AAC13946|C.neoformans_Fungi,u,GT69-u,0.711287260055542
GT73-u|AIE00872|K.pneumoniaesubsppneumoniaeKP5-1_Bacteria,u,GT73-u,0.9203341603279114
GT48-u|ABX80511|C.parapsilosis_Fungi,u,GT48-u,0.7504120469093323
GT48-u|AAF34719|C.glabrataATCC90876_Fungi,u,GT48-u,0.7644803524017334
GT73-u|AFN85587|E.coli81009_Bacteria,u,GT73-u,1.0408689975738525
GT42-u|AAG43979|C.jejuniATCC43432_Bacteria,u,GT42-u,0.9654819965362549
GT89-u|ADL11403|C.pseudotuberculosisC231_Bacteria,u,GT89-u,0.7430897951126099
GT48-u|ADO14232|C.glabrataCBS138_Fungi,u,GT48-u,0.7735836505889893
GT89-u|AET21135|M.tuberculosisvariantbovisBCGstrMexico_Bacteria,u,GT89-u,0.7719221115112305
GT53-u|AKP07770|C.pseudotuberculosis262_Bacteria,u,GT53-u,1.1044515371322632
GT44-u|QCV10367|E.coliO157H7ECP17-1298_Bacteria,u,GT44-u,1.1940025091171265
GT53-u|AGL33304|M.tuberculosisEAI5NITR206_Bacteria,u,GT53-u,1.018693208694458
GT26-u|AAU20247|B.cereusE33L_Bacteria,u,GT26-u,1.1165436506271362
GT97-u|ABW93688|N.meningitidisWNTP118-13ST-22_Bacteria,u,GT97-u,0.8840038180351257
GT71-u|AJR81324|S.cerevisiaeYJM451_Fungi,u,GT71-u,0.7154298424720764
GT71-u|AJP83164|S.cerevisiaeYJM1418_Fungi,u,GT71-u,0.6583102941513062
GT76-u|AHY74490|S.cerevisiaeYJM993_Fungi,u,GT76-u,1.1544582843780518
GT71-u|AJT08527|S.cerevisiaeYJM627_Fungi,u,GT71-u,0.7118724584579468
GT71-u|AJR54125|S.cerevisiaeYJM682_Fungi,u,GT71-u,0.5771327018737793
GT44-u|ADH94633|C.difficile55767_Bacteria,u,GT44-u,0.851269543170929
GT71-u|AJR37278|S.cerevisiaeYJM244_Fungi,u,GT71-u,0.6746483445167542
GT11-u|ACD47556|H.pyloriShi470_Bacteria,u,GT11-u,0.8781625032424927
GT53-u|AIQ10449|M.tuberculosis96121_Bacteria,u,GT53-u,1.0494097471237183
GT71-u|AJU50132|S.cerevisiaeYJM1388_Fungi,u,GT71-u,0.6797434091567993
GT108-u|AEO25161|L.monocytogenesFSLR2-561_Bacteria,u,GT108-u,1.8505454063415527
GT73-u|AMU84195|E.colistrSanji_Bacteria,u,GT73-u,1.1714755296707153
GT53-u|AIH33841|M.tuberculosis0B229DS_Bacteria,u,GT53-u,1.1108458042144775
GT108-u|ABX87508|Y.pestisAngola_Bacteria,u,GT108-u,1.9311368465423584
GT29-u|AFU77570|M.virusAustBendigo7-92_,u,GT29-u,0.8451395034790039
GT44-u|AGT71343|C.trachomatisIa20-97_Bacteria,u,GT44-u,0.7612429857254028
GT26-u|AAU17663|B.cereusE33L_Bacteria,u,GT26-u,1.0568490028381348
GT48-u|QEO75918|C.tropicalis_Fungi,u,GT48-u,2.1731455326080322
GT29-u|AAM22800|H.sapiens_Metazoa,u,GT29-u,0.724818766117096
GT42-u|AAG29922|C.jejuniMSC57360_Bacteria,u,GT42-u,0.9956560134887695
GT29-u|CAG26711|P.troglodytes_Metazoa,u,GT29-u,0.8308747410774231
GT26-u|AAU25262|B.licheniformisDSM13ATCC14580_Bacteria,u,GT26-u,1.0273536443710327
GT26-u|AME07213|B.spSDLI1_Bacteria,u,GT26-u,0.9365752339363098
GT11-u|AVG83124|H.pylori713_3_Bacteria,u,GT11-u,0.8991780877113342
GT42-u|SNV82358|P.multocidaNCTC10322_Bacteria,u,GT42-u,1.3196444511413574
GT26-u|ANP84068|B.spB252016b_Bacteria,u,GT26-u,1.1197720766067505
GT26-u|ACK94976|B.cereusG9842_Bacteria,u,GT26-u,1.0710197687149048
GT100-u|AUP31583|S.agalactiaeSA341_Bacteria,u,GT100-u,0.854978621006012
GT89-u|ALR13784|M.saopaulenseEPM10906_Bacteria,u,GT89-u,0.7276052832603455
GT26-u|ADV94380|B.subtilisBSn5_Bacteria,u,GT26-u,0.9433945417404175
GT100-u|AOQ20262|S.agalactiaeWC1535_Bacteria,u,GT100-u,0.8932077884674072
GT29-u|AAH65936|H.sapiens_Metazoa,u,GT29-u,0.6662721037864685
GT53-u|AAC44547|M.avium2151_Bacteria,u,GT53-u,1.0834019184112549
GT89-u|ATO61056|M.aviumsubsphominissuisHP17_Bacteria,u,GT89-u,0.7103429436683655
GT53-u|AAC44548|M.avium2151_Bacteria,u,GT53-u,1.1069612503051758
GT53-u|APT09111|M.aviumsubsphominissuisH87_Bacteria,u,GT53-u,1.0809357166290283
GT26-u|QHK00480|B.subtilisSRCM102754_Bacteria,u,GT26-u,0.9411904811859131
GT42-u|ABQ99866|H.influenzaePittGG_Bacteria,u,GT42-u,0.8102060556411743
GT26-u|AKC67570|B.pumilusW3_Bacteria,u,GT26-u,0.9547191858291626
GT73-u|AVQ93078|C.freundiiB9-C2_Bacteria,u,GT73-u,1.0320063829421997
GT100-u|ARU67633|H.somniUSDA-ARS-USMARC-63255_Bacteria,u,GT100-u,0.9051908850669861
GT53-u|AIK83921|C.glutamicumAR1_Bacteria,u,GT53-u,1.077035903930664
GT89-u|AGT06584|C.glutamicumMB001_Bacteria,u,GT89-u,0.7326487302780151
GT29-u|CAD45371|H.sapiens_Metazoa,u,GT29-u,0.7704829573631287
GT100-u|ABQ98854|H.influenzaePittEE_Bacteria,u,GT100-u,0.9839161038398743
GT99-u|ABR77902|K.pneumoniaesubsppneumoniaeMGH78578_Bacteria,u,GT99-u,0.6685904264450073
GT26-u|ANU62099|A.muciniphilaYL44_Bacteria,u,GT26-u,0.8752819299697876
GT44-u|ADH94634|C.difficileCH6230_Bacteria,u,GT44-u,0.8151572346687317
GT11-u|ACD04967|A.muciniphilaATCCBAA-835_Bacteria,u,GT11-u,0.9441514611244202
GT44-u|ADH94625|C.difficileCH6223_Bacteria,u,GT44-u,0.8429126739501953
GT11-u|ATG41145|P.piscinaeP14_Bacteria,u,GT11-u,0.9101175665855408
GT73-u|AWT18412|K.michiganensisAACKY_Bacteria,u,GT73-u,0.8948797583580017
GT42-u|QEQ59964|H.influenzaebiotypeaegyptiusHE37F3052_Bacteria,u,GT42-u,0.8579248189926147
GT100-u|AAD28703|H.ducreyi35000_Bacteria,u,GT100-u,0.8392236828804016
GT89-u|ALE39262|L.interrogansserovarHardjostrNorma_Bacteria,u,GT89-u,0.7845253944396973
GT11-u|AYR34836|A.muciniphilaAMDK-2_Bacteria,u,GT11-u,0.8830553293228149
GT102-u|AZR77076|B.thuringiensisC15_Bacteria,u,GT102-u,0.5398944020271301
GT108-u|ACS25873|G.spWCH70_Bacteria,u,GT108-u,1.8592427968978882
